	Actinotignum	GU303868_g	Arcanobacterium	Mobiluncus	Gemella	Alloscardovia	Staphylococcus	Aerococcus	Facklamia	Bifidobacterium	Enterococcus	Gardnerella	L. crispatus	L. gasseri	L. iners	L. jensenii	Limosilactobacillus	Streptococcus	Clostridium	Corynebacterium	Blautia	CP009312_g	Howardella	Moryella	JRNA_g	Peptococcus	Peptostreptococcus	Faecalibacterium	Fastidiosipila	JN713389_g	KQ959578_g	Brevibacterium	Dialister	Megasphaera	Negativicoccus	Veillonella	Anaerococcus	CYUO_g	Ezakiella	Fenollaria	Finegoldia	Helcococcus	KI259813_g	Murdochiella	Parvimonas	Peptoniphilus	Fusobacterium	Sneathia	Sutterella	FM873692_g	Neisseria	Campylobacter	Escherichia	Actinobacillus	Jonquetella	Ureaplasma	Nesterenkonia	Atopobium	KQ959671_g	Olsenella	Bacteroides	Actinomyces	Porphyromonas	Prevotella
Enterococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.11618489044141378	0.0	0.0	0.0	0.0	0.0	0.125277193604108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11297348005440642	0.0	0.0	0.0	0.0	0.0	0.0	0.11994274564745347	0.0	0.0	0.0	0.0	-0.21535544956347813	0.0	0.0	0.0	-0.1437491711376509	0.0	-0.14122398877820558	-0.1933914843382267	0.0	0.0	0.0	0.0	0.0	-0.17731209571773704	0.0	0.0	0.0	0.11142734011526526	0.12070387119545606	-0.17678562198809158	0.15603784215956495	0.10675463393788676	0.0	0.0	0.0	0.0	0.0	0.0	0.10245488940904629	-0.1203064387003831	-0.20061227616334248	-0.21663648727380902
Gardnerella	0.0	0.0	0.0	0.0	0.20546986405660755	-0.14287766679354785	-0.16717803706081857	0.36709222154340454	-0.11230065507983947	-0.1055406838212246	0.0	0.0	-0.21354628668170925	0.0	0.0	0.0	0.0	0.0	-0.1425619919144604	-0.19976110267847497	0.0	-0.12961769335377582	0.0	0.0	0.0	0.0	0.10103776147197316	0.0	0.0	0.0	0.2646494402857902	0.0	0.20621545147447984	0.2942414066300699	0.0	0.0	0.0	0.0	-0.13521965733530522	0.0	-0.12439677548733327	0.0	0.0	0.0	0.23325949524915585	0.0	0.0	0.3091482082251451	0.0	0.0	0.0	-0.10025834300343481	0.0	0.0	0.0	0.19107717720279832	0.0	0.489505011221506	0.2644688508745363	0.0	0.0	-0.1349116478882458	0.0	0.2027483994946764
L. crispatus	0.0	0.0	0.0	0.0	0.0	0.0	0.13047411397048214	-0.19736428093609382	0.0	0.0	0.125277193604108	-0.21354628668170925	0.0	0.0	-0.19796656586775485	0.19280452766869577	0.4123506676140117	-0.13400130119011533	0.2634963835352313	0.0	0.1616644733023482	0.0	-0.1096554265181652	0.0	0.1413602221163649	0.0	0.0	0.14795167234232587	0.10099022061769924	0.13945006769720858	0.0	0.12124724827473213	-0.28937751368781356	-0.160711514394614	0.0	0.0	-0.15492977840014277	0.12538374821256873	0.0	0.0	0.0	0.11807058183475827	0.13055512792231794	0.0	-0.12929209995379431	-0.1506716901746052	0.0	-0.12897238385794013	0.0	0.15607825914097068	0.15436442738453438	0.0	0.11617382770444731	0.13836704609750877	0.14522370219891112	0.10192203359486646	0.12628656187688295	-0.26973698156099546	0.0	0.1331910854769781	0.14429670272172462	0.0	0.0	-0.27359095462994415
L. gasseri	0.0	0.0	0.0	0.0	0.0	0.10853874406357475	0.0	0.0	0.0	0.1340193695452479	0.0	0.0	0.0	0.0	-0.12311480226932227	0.0	0.1459598917547827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11827914949347013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10948762932517749	0.0	0.0	-0.10654932267589262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L. iners	0.0	0.0	0.0	0.0	0.10393207761787372	0.0	0.0	0.1044700976538265	0.0	-0.1422285750261323	0.0	0.0	-0.19796656586775485	-0.12311480226932227	0.0	0.15783188885974622	0.0	0.0	0.0	0.0	0.0	0.0	-0.12460514432601807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.12242918837882187	0.0	0.0	0.0	-0.11168462585750569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.11087093289112274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21148985466432269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10414352111423089
L. jensenii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1136701124139878	0.0	0.0	0.0	0.0	0.19280452766869577	0.0	0.15783188885974622	0.0	0.32107343732417015	0.0	0.11816792077881574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1930848439443575	-0.17962751642161123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1204783404667199	-0.11056970271921776	0.0	-0.11403717571857819	0.0	0.0	0.0	-0.10135396769352598	0.0	0.0	0.0	0.1098314878613492	0.0	-0.18410284093645163	0.0	0.0	0.0	0.0	-0.11611187283593599	-0.20088355306495093
Limosilactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.10922049061599307	-0.16238868446383747	0.0	0.0	0.0	0.0	0.4123506676140117	0.1459598917547827	0.0	0.32107343732417015	0.0	-0.11713893171414157	0.1680763374045461	0.0	0.0	0.0	-0.1045398380209156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10738921086032188	0.0	-0.24528598269316096	-0.20025244851104204	0.0	0.0	-0.1219680528702564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.14157954785923252	-0.16050536894644157	0.0	-0.12662221213870817	0.0	0.1138876675297635	0.0	-0.14122744485397148	0.0	0.0	0.0	0.1658257057794818	0.0	-0.19043309285040888	0.0	0.0	0.0	-0.11552240007954079	-0.14672841906840106	-0.24068353497608186
Streptococcus	0.0	-0.1127014255792646	0.0	0.0	0.16398750788853234	0.21300664783277995	0.22130615358924527	0.0	0.0	0.16623129333342027	0.0	0.0	-0.13400130119011533	0.0	0.0	0.0	-0.11713893171414157	0.0	-0.10269768748641989	0.16713954152598057	0.0	0.0	0.23407745103519767	-0.12039299290749478	0.0	0.0	0.11663299367855239	0.0	0.0	0.0	-0.17820138956713039	0.0	0.11232963669378718	-0.1676801535278133	0.0	0.2608342063664162	0.2314705451153875	0.0	0.0	0.0	0.2433387799546694	0.0	0.0	0.0	-0.11525521941612782	0.16874443302020553	0.0	-0.1487852317681897	0.0	0.0	0.0	0.0	0.0	0.12222104604251638	0.0	0.0	0.0	0.0	-0.1747411223591911	0.0	0.0	0.13915009723395264	0.0	0.11208220252877851
Clostridium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.10477297843953295	0.0	0.0	0.0	-0.1425619919144604	0.2634963835352313	0.0	0.0	0.11816792077881574	0.1680763374045461	-0.10269768748641989	0.0	0.0	0.12564765740547967	0.0	0.0	0.0	0.10035351172756202	0.0	0.0	0.13199872250315492	0.0	0.0	0.0	0.0	-0.23270356632932682	0.0	0.0	0.0	-0.12888439613736846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.14948129649643355	0.0	0.0	0.0	0.10787126434972735	0.1027041636801101	-0.11034124477924842	0.0	0.0	0.0	0.0	0.0	-0.15077564377774802	0.0	0.0	0.11458658767185519	0.0	0.0	-0.22421868595908634
Corynebacterium	0.0	-0.1597746112865865	-0.12058546156173311	0.0	-0.16314312719524962	0.0	0.417439255434051	-0.18025483530101102	0.26447752712105277	0.0	0.0	-0.19976110267847497	0.0	0.0	0.0	0.0	0.0	0.16713954152598057	0.0	0.0	0.0	0.2520993638467828	0.0	-0.11910739603577679	0.0	0.0	0.0	0.0	0.0	0.0	-0.27461049638988766	0.0	0.0	-0.21642631735844184	0.0	0.0	0.3479632996419104	0.0	0.16037035884329554	0.13756430324240443	0.42036327227201	0.0	0.0	0.0	-0.26496453880803494	0.2980350075054573	0.0	-0.28616929418676207	0.0	0.0	0.0	0.1488177477095961	0.0	0.0	0.0	0.0	0.0	-0.22484142388840184	-0.27716732330631366	0.0	0.0	0.2551324828321773	0.0	0.1087292855970749
Blautia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11297348005440642	0.0	0.1616644733023482	0.0	0.0	0.0	0.0	0.0	0.12564765740547967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30931008617441547	0.0	0.10133325921365378	0.0	0.0	-0.20430861771116693	0.0	0.0	0.0	-0.14176795815028137	0.0	0.0	-0.13392477788786272	0.0	0.0	0.0	0.0	0.0	-0.17827473030892804	0.0	0.0	0.0	0.0	0.0	-0.1677329421327204	0.10063524825882918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3064514654457555	-0.14035263199073908	-0.15227146311389736	-0.19422415370342377
